tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-17-000693-b,Код за ДК 021:2015 – 18330000-1 (Сорочка під бронежилет літня),183,0,0,0,0,12,aboveThresholdUA,517000,39751280,complete,30
UA-2017-02-07-001343-a,Оригінальні витратні матеріали для принтерів НР - картриджі,301,0,0,0,0,4,belowThreshold,198000,1527695,complete,31
UA-2017-02-22-002622-c,"Облаштування ігрових майданчиків за адресою: Вул.Алма-Атинська, 68",454,0,0,0,0,4,belowThreshold,80000,39606435,complete,20
UA-2017-02-14-000151-c,"Фармацевтична продукція (Морфін, натрію оксибутират, фентаніл, промедол, сибазон, трамадол, кетамін)",336,0,0,0,0,4,aboveThresholdUA,420000,1992147,complete,880
UA-2017-02-16-001483-c,Капітальний ремонт вул. Свободи в смт Петропавлівка Петропавлівського району Дніпропетровської області,452,0,0,0,0,4,aboveThresholdUA,2180571,38598277,complete,490
UA-2017-02-02-000820-a,проводи неізольовані,317,0,0,0,0,4,aboveThresholdUA,53760,5425046,complete,344
UA-2017-02-27-000320-a,Лікарські засоби для лікування хвороб дихальної системи,336,0,0,0,0,10,belowThreshold,15315,1989668,complete,537
UA-2017-02-02-002309-b,"основний словник національного класифікатора України ДК 021:2015 ""Єдиний закупівельний словник""–  15510000-6 Молоко та вершки (молоко)",155,0,0,0,0,17,aboveThresholdUA,299040,40866559,unsuccessful,860
UA-2017-02-24-000659-a,Молоко,155,0,0,0,0,4,belowThreshold,10380,26371642,complete,490
UA-2017-02-01-002320-b,Молоко,155,0,0,0,0,4,belowThreshold,50000,23953961,unsuccessful,803
UA-2017-02-09-000915-b,"«ДК 021:2015: (CPV)  Оброблені фрукти та овочі (15330000-0) (повидло, сухофрукти, родзинки без кісточок, ревінь)»",153,0,0,0,0,4,aboveThresholdUA,468000,2144588,complete,790
UA-2017-02-08-000101-a,"Тканина, стрічка атласна",192,0,0,0,0,3,belowThreshold,12000,37538678,complete,490
UA-2017-02-23-001848-c,Оренда легкового автомобілю,601,0,0,0,0,1,belowThreshold,28800,5309392,complete,10
UA-2017-02-07-000210-b,33600000-6 Фармацевтична продукція (ліки),336,0,0,0,0,2,aboveThresholdUA,630000,31437719,unsuccessful,610
UA-2017-02-01-001106-b,автошини (частини та приладдя до транспортних засобів і їх двигунів),343,0,0,0,0,4,belowThreshold,50000,35518162,complete,773
UA-2017-02-28-001100-a,Контейнери для ТПВ металеві,446,0,0,1,1,2,aboveThresholdUA,468000,5410599,unsuccessful,540
UA-2017-02-10-002251-c,Мішки та пакети (пакети типу «Майка»),189,0,0,1,1,4,belowThreshold,264000,21560045,complete,10
UA-2017-02-02-000644-a,Концентроване томатне пюре; консервований горох; огірки консервовані без оцту,153,0,0,0,0,4,aboveThresholdUA,237912,2146280,complete,610
UA-2017-02-08-003110-c,"Технічне обслуговування офісної техніки (заправка, заміна та ремонт картриджів).",503,0,0,1,1,3,belowThreshold,40000,2141207,complete,10
UA-2017-02-07-001058-c,Канцелярські вироби,301,0,0,0,0,4,belowThreshold,151550,1128110,complete,650
UA-2017-02-13-000870-c,"Рентгенівська плівка (РФ 70мм х 30,5м)",323,0,0,0,0,3,belowThreshold,22500,2006426,complete,171
UA-2017-02-17-001206-c,"Технічне переоснащення електромереж 0,4-10 кВ із встановленням розвантажувальної КТП-10/0,4 кВ у c. Перегноїв Золочівського району Львівської області (Л-1 та Л-2 від ЗТП-52 інв. № 21113000002).",452,0,0,0,0,1,belowThreshold,4717442.53,131587,complete,790
